bot,browser,browser_version,city,country,cpu_architecture,device,device_model,device_vendor,domain,engine,engine_version,key,latitude,longitude,os,os_version,referrer,region,timestamp,ua
0,Safari,39.0.848.0,O'Connerport,CV,Alpha (DEC Alpha),Mobile,HP Pavilion,Xiaomi,weel.vercel.app,Lynx,7.0,github,77.5048,-18.4088,Mint,6.3,(direct),Michigan,1699113416423,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_4 rv:4.0; AN) AppleWebKit/534.0.2 (KHTML, like Gecko) Version/4.1.10 Safari/534.0.2"
0,Mozilla Firefox,19.0.812.0,Spring Hill,GQ,SPARC,Console,Microsoft Surface Studio,Ulefone,weel.vercel.app,Blink,7.1,github,-48.8376,53.6421,Windows,5.3,(direct),New Mexico,1688005265490,"Mozilla/5.0 (X11; Linux x86_64 AppleWebKit/535.0.2 (KHTML, like Gecko) Chrome/26.0.857.0 Safari/535.0.2"
1,Vivaldi,24.0.830.0,St. Clair Shores,SZ,SPARC,Tablet,Xiaomi Mi,Xiaomi,weel.vercel.app,NetSurf,7.0,github,46.1403,132.2298,Chrome OS,5.0,virtuous-dark.net,Montana,1686222967550,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7 rv:4.0; EU) AppleWebKit/534.0.2 (KHTML, like Gecko) Version/6.1.4 Safari/534.0.2"
1,Brave,26.0.801.0,New Hillardport,BJ,x86-64,Desktop,Huawei MediaPad,Alcatel,weel.vercel.app,KHTML,7.0,github,43.3748,-79.2156,SUSE Linux,5.2,(direct),Alabama,1694190787572,Opera/12.99 (Windows NT 5.3; U; KO Presto/2.9.173 Version/10.00)
0,Yandex Browser,20.0.809.0,Mobile,AX,SPARC,Desktop,MSI Infinite,Vivo,weel.vercel.app,Tasman,3.0,github,-9.5591,157.3904,AIX (IBM),5.3,infamous-hurt.net,Rhode Island,1694702175123,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6.2; rv:5.4) Gecko/20100101 Firefox/5.4.7
0,Maxthon,15.0.802.0,Estellaton,BZ,RISC-V,Tablet,Apple iMac,Sony,weel.vercel.app,Dillo,4.1,github,-33.0734,-170.5457,iOS,5.3,(direct),New York,1674116603584,Mozilla/5.0 (X11; Linux i686; rv:11.6) Gecko/20100101 Firefox/11.6.0
0,Vivaldi,20.0.804.0,North Darien,SC,x86-64,Wearable,Microsoft Surface Studio,Motorola,weel.vercel.app,NetSurf,6.0,github,-47.8356,-127.7846,OpenBSD,6.0,giddy-reboot.info,Wisconsin,1686827213667,Opera/12.45 (Windows NT 6.2; U; TR Presto/2.9.160 Version/11.00)
0,Yandex Browser,19.0.825.0,Lake Demetrisville,ST,ARM,Tablet,ASUS ROG,Google,weel.vercel.app,Otter,6.0,github,-28.7345,-6.4587,Mint,6.2,(direct),Alabama,1682865660927,"Mozilla/5.0 (X11; Linux i686 AppleWebKit/534.1.1 (KHTML, like Gecko) Chrome/18.0.835.0 Safari/534.1.1"
0,Opera,33.0.866.0,Homenickchester,PN,Power Architecture,Tablet,Apple iMac,Apple,weel.vercel.app,WebKit,6.1,github,-75.4457,58.0796,Ubuntu,6.1,(direct),Massachusetts,1678400438651,Opera/13.67 (Macintosh; Intel Mac OS X 10.5.3 U; YI Presto/2.9.166 Version/12.00)
0,Slimjet,24.0.870.0,Tevinmouth,EH,Power Architecture,Wearable,Google Pixel Slate,Samsung,weel.vercel.app,Trident,6.1,github,-26.0335,-143.1941,Chrome OS,5.3,cylindrical-piano.name,Kansas,1685707801995,Opera/12.1 (X11; Linux x86_64; U; HY Presto/2.9.190 Version/11.00)
0,Internet Explorer,27.0.895.0,Winifredcester,UA,SPARC,Desktop,Google Pixel Slate,Huawei,weel.vercel.app,Blink,3.1,github,80.9391,175.6338,Solaris,6.3,kaleidoscopic-grey.com,Pennsylvania,1673708002633,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/536.0.2 (KHTML, like Gecko) Chrome/37.0.826.0 Safari/536.0.2"
0,Mozilla Firefox,35.0.895.0,New Dario,PR,SPARC,Embedded,Huawei P,Alcatel,weel.vercel.app,Presto,3.1,github,55.6305,156.0985,SUSE Linux,6.3,parallel-triad.com,Wyoming,1682802904374,Mozilla/5.0 (X11; Linux i686; rv:12.3) Gecko/20100101 Firefox/12.3.1
0,Vivaldi,38.0.816.0,Port Shana,PW,Alpha (DEC Alpha),Tablet,Samsung Galaxy Tab,Lenovo,weel.vercel.app,SlimerJS,4.0,github,-23.903,-20.0083,OpenBSD,5.0,difficult-blessing.net,Ohio,1674536354663,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_5 rv:6.0; AN) AppleWebKit/538.0.0 (KHTML, like Gecko) Version/6.1.0 Safari/538.0.0"
